English,Luganda
H is strengthening the capacity of 22 National/Regional Referral plans.,H kwe kunyweza obusobozi bw’enteekateeka 22 ez’okusindika abantu mu ggwanga/ekitundu.
Annual Pharmaceutical Services Performance Report have had at least four assessments and two (10%) have had three assessments.,Lipoota y’emirimu gy’eddagala buli mwaka ebadde n’okukebera waakiri kuna ate bbiri (10%) zifunye okukeberebwa kusatu.
"Mulago NRH is the only facility that has not reached the 80% score in pharmaceutical waste management, mainly because there were accumulated expired commodities that were not yet disposed of at the time of the third assessment.","MULAGO NRH kye kifo kyokka ekitatuuse ku bubonero 80% mu kuddukanya kasasiro w’eddagala, okusinga olw’okuba waaliwo ebintu ebikuŋŋaanyiziddwa ebiggwaako ebitannaba kusuulibwa mu kiseera ky’okukebera okw’okusatu."
Follow-ups are ongoing to have them address this concern.,Abagobererwa bagenda mu maaso okuba nga bakola ku kweraliikirira kuno.
USAID/SSCS activity continues to work with the facilities to improve their waste management plans.,Emirimu gya USAID/SSCS gikyagenda mu maaso n’okukolagana n’ebifo eby’okulongoosa enteekateeka zaabwe ez’okuddukanya kasasiro.
Stock Management Performance Good stock management practices are the cornerstone of efficient and effective healthcare delivery at health facilities.,Enkola y’okuddukanya emigabo Enkola ennungi ey’okuddukanya sitooka ye jjinja ery’oku nsonda mu kutuusa obujjanjabi obulungi era obulungi mu bifo by’ebyobulamu.
"Ensuring the availability of essential medicines and supplies, while minimizing waste and losses is crucial for meeting patient needs and optimizing resource utilization.","Okukakasa nti eddagala n’ebikozesebwa ebikulu bibaawo, ate okukendeeza ku kasasiro n’okufiirwa kikulu nnyo mu kutuukiriza ebyetaago by’abalwadde n’okulongoosa enkozesa y’ebintu."
Stock management indicators are tracked under the Essential Medicines Supervision Performance Assessment and Recognition Strategy (SPARS).,Ebipimo by’okuddukanya sitooka birondoolebwa wansi w’enkola y’okukebera emirimu n’okusiima eddagala ery’omugaso (SPARS).
"The average stock management score for FY 2023/24 was 3.24/5 (64.8%), which is below the target of Additionally, there are other methods/approaches used to supplement SPARS including Pre-Joint Review supervisions, support supervisions and mentorships etc., though the data for these could Digital Supply Chain Performance Self-Assessment The Digital Supply Chain Performance Self-Assessment (DSPSS) portal accessible via health.go.ug/, is a platform for health facility supply chain managers/staff to assess the health facility supply chain performance, without need for presence of external supervisors.","The average stock management score for FY 2023/24 was 3.24/5 (64.8%), which is below the target of Additionally, there are other methods/approaches used to supplement SPARS including Pre-Joint Review supervisions, support supervisions and mentorships etc., though the data for these could Digital Supply Chain Performance Self-Assessment The Digital Supply Chain Performance Self-Assessment (DSPSS) portal accessible via Health.go.ug/, ye nkola y’abaddukanya emirimu/abakozi mu bifo by’ebyobulamu okukebera omulimu gw’okugaba eby’obulamu, awatali kwetaaga kubeerawo kwa balabirira ab’ebweru."
H e-learning platform ( health workers enroll to the e-learning supply chain management course to improve their knowledge in the domains where they score low on the assessments.,H e-learning platform ( Abakozi b’ebyobulamu beewandiisa mu kkoosi y’okuddukanya emirimu gy’okugaba ebintu ku yintaneeti okutumbula okumanya kwabwe mu bitundu gye bafuna obubonero obutono ku bipimo.
"H is committed to attaining and maintaining an adequate pharmaceutical services workforce that is equitably distributed, appropriately skilled, motivated, and productive.","H yeewaddeyo okutuuka n’okukuuma abakozi b’empeereza y’eddagala abamala nga bagabanyizibwa mu bwenkanya, nga balina obukugu mu ngeri esaanidde, nga balina ebiruubirirwa, era nga bafunamu."
"Over the years, there has been an increase in the number of training institutions and schools which has led to an increase in the number of pharmacy professionals.","Emyaka bwe gizze giyitawo, wabaddewo okweyongera kw’omuwendo gw’amatendekero n’amasomero ekivuddeko omuwendo gw’abakugu mu by’eddagala okweyongera."
