English,Luganda
stock management performance good stock management practices are the cornerstone of efficient and effective healthcare delivery at health facilities.,enkola y’okuddukanya emigabo enkola ennungi ey’okuddukanya sitooka ye jjinja ery’oku nsonda mu kutuusa obujjanjabi obulungi era obulungi mu bifo by’ebyobulamu.
"ensuring the availability of essential medicines and supplies, while minimizing waste and losses is crucial for meeting patient needs and optimizing resource utilization.","okukakasa nti eddagala n’ebikozesebwa ebikulu bibaawo, ate okukendeeza ku kasasiro n’okufiirwa kikulu nnyo mu kutuukiriza ebyetaago by’abalwadde n’okulongoosa enkozesa y’ebintu."
stock management indicators are tracked under the essential medicines supervision performance assessment and recognition strategy (spars).,ebipimo by’okuddukanya sitooka birondoolebwa wansi w’enkola y’okukebera emirimu n’okusiima eddagala ery’omugaso (spars).
"the average stock management score for fy 2023/24 was 3.24/5 (64.8%), which is below the target of additionally, there are other methods/approaches used to supplement spars including pre-joint review supervisions, support supervisions and mentorships etc., though the data for these could digital supply chain performance self-assessment the digital supply chain performance self-assessment (dspss) portal accessible via health.go.ug/, is a platform for health facility supply chain managers/staff to assess the health facility supply chain performance, without need for presence of external supervisors.","the average stock management score for fy 2023/24 was 3.24/5 (64.8%), which is below the target of additionally, there are other methods/approaches used to supplement spars including pre-joint review supervisions, support supervisions and mentorships etc., though the data for these could digital supply chain performance self-assessment the digital supply chain performance self-assessment (dspss) portal accessible via health.go.ug/, ye nkola y’abaddukanya emirimu/abakozi mu bifo by’ebyobulamu okukebera omulimu gw’okugaba eby’obulamu, awatali kwetaaga kubeerawo kwa balabirira ab’ebweru."
h e-learning platform ( health workers enroll to the e-learning supply chain management course to improve their knowledge in the domains where they score low on the assessments.,h e-learning platform ( abakozi b’ebyobulamu beewandiisa mu kkoosi y’okuddukanya emirimu gy’okugaba ebintu ku yintaneeti okutumbula okumanya kwabwe mu bitundu gye bafuna obubonero obutono ku bipimo.
"h is committed to attaining and maintaining an adequate pharmaceutical services workforce that is equitably distributed, appropriately skilled, motivated, and productive.","h yeewaddeyo okutuuka n’okukuuma abakozi b’empeereza y’eddagala abamala nga bagabanyizibwa mu bwenkanya, nga balina obukugu mu ngeri esaanidde, nga balina ebiruubirirwa, era nga bafunamu."
"over the years, there has been an increase in the number of training institutions and schools which has led to an increase in the number of pharmacy professionals.","emyaka bwe gizze giyitawo, wabaddewo okweyongera kw’omuwendo gw’amatendekero n’amasomero ekivuddeko omuwendo gw’abakugu mu by’eddagala okweyongera."
"currently, three universities are offering pharmacy education at bachelors and post-graduate levels.","mu kiseera kino, amatendekero asatu gawa ebyenjigiriza by’eddagala ku bachelors ne post-graduate levels."
"there are several institutions training pharmacy technicians (dispensers) and pharmacy assistants at diploma and certificate a review of the human resource structure for public health facilities, that included the introduction of new pharmacist positions at referral, district, general","waliwo ebitongole ebiwerako ebitendeka abakugu mu by’eddagala (abagaba eddagala) n’abayambi b’eddagala mu dipulooma ne satifikeeti okwekenneenya ensengeka y’abakozi ku bifo by’ebyobulamu eby’olukale, nga muno mwe mwali okuleeta ebifo ebipya eby’abajjanjabi b’eddagala mu referral, district, general"
annual pharmaceutical services performance report senior consultant (oncology consultant (oncology pharmacist) consultant (radio pharmacy) mo special grade (oncology pharmaceutical sector workforce various indicators are used to track progress in building the pharmaceutical sector workforce.,obuweereza bw’eddagala buli mwaka lipoota y’omulimu gw’okukola emirimu egy’amaanyi (oncology consultant (oncology pharmacist) consultant (radio pharmacy) mo special grade (oncology pharmaceutical sector workforce ebipimo eby’enjawulo bye bikozesebwa okulondoola enkulaakulana mu kuzimba abakozi mu kitongole ky’eddagala.
